What,Dirty File,,,,
Why ,Just because,,,,
Source,Could be SAP,,,,
When ,Yesterday,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Production Line Tag,Manufactured Part Code,Shift Date,Gross Quantity Produced,Conforming Quality Qty,Unplanned Downtime Duration
LIN-WLD-02-10,PRD-PLT-005-10,13/12/2024,1183,1162,41
LIN-CNC-02,PRD-FLG-880,1/13/2026,1845,1758,25
LIN-PRS-01-6,PRD-PLT-005-6,1/2/2025,3108,3031,78
LIN-CNC-02,PRD-FLG-880,5/13/2025,1925,1831,40
LIN-CNC-01-8,PRD-VAL-101-8,5/20/2024,1991,1827,30
LIN-EDR-02,PRD-MOT-500,6/26/2024,910,897,99
LIN-PRS-01-6,PRD-BRK-220-6,4/29/2025,2459,2386,50 min
LIN-PRS-01-8,PRD-PLT-005-8,7/25/2025,4020,3782,8
LIN-PNT-01-9,PRD-HSG-450-9,7/18/2024,3457,3446,24
LIN-CNC-02,PRD-BRK-220,4/21/2026,2631,2416,85
LIN-CNC-01-10,PRD-FLG-880-10,2/9/2024,1798,1777,38 min
LIN-CNC-01-4,PRD-FLG-880-4,11/14/2025,2029,2005,22
LIN-EDR-02-4,PRD-MOT-500-4,8/28/2025,1372,1303,67 mins
LIN-PNT-01-8,PRD-FLG-880-8,3/14/2024,3236,3063,15
LIN-CNC-02-7,PRD-BRK-220-7,6/14/2025,684,654,27 min
LIN-CNC-02-7,PRD-FLG-880-7,7/23/2024,1868,1831,17
LIN-EDR-01,PRD-STA-320,8/2/2024,1173,1152,15
LIN-WLD-02-9,PRD-CHS-010-9,8/23/2024,942,889,29 min
LIN-PNT-01-5,PRD-HSG-450-5,9/24/2024,2617,2479,2.2 hrs
LIN-EDR-01-10,PRD-STA-320-10,4/7/2026,1091,1059,8
LIN-EDR-02-3,PRD-MOT-500-3,3/5/2025,953,922,95
LIN-WLD-02-4,PRD-PLT-005-4,8/26/2024,1075,1071,60 min
LIN-PRS-01-9,PRD-PLT-005-9,3/16/2026,2338,2227,19 min
LIN-CNC-01-8,PRD-VAL-101-8,4/25/2024,1931,1770,48 min
LIN-PNT-01-10,PRD-HSG-450-10,11/11/2025,2126,2089,39
LIN-CNC-02-7,PRD-BRK-220-7,8/23/2025,878,865,5
LIN-EDR-01-9,PRD-STA-320-9,1/21/2025,1556,1524,17
LIN-PRS-01-3,PRD-BRK-220-3,6/10/2024,3039,2993,44
LIN-EDR-02-5,PRD-MOT-500-5,7/19/2024,1388,1355,3.4 hrs
LIN-WLD-02-6,PRD-CHS-010-6,5/14/2026,876,867,10
LIN-WLD-01-3,PRD-CHS-010-3,5/28/2026,777,759,55 min
LIN-PNT-01-10,PRD-FLG-880-10,9/1/2025,1969,1911,2.3 hrs
LIN-CNC-02-5,PRD-BRK-220-5,5/15/2024,1871,1759,110 mins
LIN-CNC-02-9,PRD-FLG-880-9,4/8/2025,2482,2264,22
LIN-WLD-02-2,PRD-PLT-005-2,5/26/2026,1135,1114,213 mins
LIN-EDR-02,PRD-MOT-500,5/15/2025,1186,1145,112
LIN-CNC-01-10,PRD-VAL-101-10,3/31/2026,2160,2010,14 min
LIN-PNT-01,PRD-FLG-880,4/17/2024,3534,3294,13
LIN-WLD-02-3,PRD-PLT-005-3,5/13/2024,902,855,44
LIN-WLD-01-2,PRD-CHS-010-2,6/19/2025,881,852,3 min
LIN-WLD-01-5,PRD-CHS-010-5,6/26/2026,1048,968,15 min
LIN-CNC-02-4,PRD-BRK-220-4,1/4/2024,2423,2341,5 min
LIN-EDR-01,PRD-STA-320,6/27/2025,1251,1135,130
LIN-EDR-02-3,PRD-MOT-500-3,4/30/2025,1643,1545,20
LIN-CNC-01-8,PRD-FLG-880-8,3/30/2025,422,413,15 min
LIN-CNC-01,PRD-FLG-880,10/1/2025,2473,2259,28 min
LIN-WLD-02-6,PRD-CHS-010-6,7/15/2024,1105,1072,17 min
LIN-PNT-01-6,PRD-HSG-450-6,5/8/2024,2663,2519,3.1 hrs
LIN-WLD-01-3,PRD-CHS-010-3,10/31/2025,1078,1056,7
LIN-PRS-01-7,PRD-BRK-220-7,2/26/2024,2817,2399,19
LIN-PRS-01-3,PRD-BRK-220-3,8/27/2024,2787,2736,11 min
LIN-CNC-02-7,PRD-FLG-880-7,1/14/2025,2118,2076,53 min
LIN-PNT-01-7,PRD-HSG-450-7,3/27/2026,2664,2565,1.9 hrs
